Date,TCS,INFY,WIPRO,HCLTECH,HDFCBANK,ICICIBANK,SBIN,AXISBANK,KOTAKBANK,RELIANCE,ITC,MARUTI,SUNPHARMA,LT,BHARTIARTL,ADANIENT,JSWSTEEL,HINDALCO,BAJFINANCE
2020-09-01,1936.3411865234375,796.191650390625,125.18407440185547,546.9049682617188,533.8756713867188,378.1219787597656,197.6812744140625,483.68048095703125,284.9396057128906,946.4243774414062,142.0533447265625,6618.6357421875,492.0152282714844,880.61328125,524.0438842773438,280.4188537597656,271.4907531738281,186.31712341308594,356.9382019042969
2020-09-02,1952.546630859375,804.7705688476562,126.15199279785156,556.6993408203125,537.1195678710938,379.5243835449219,196.0044708251953,482.3858337402344,283.51556396484375,964.9923706054688,142.91220092773438,6633.10791015625,485.45758056640625,880.9359130859375,528.1690673828125,292.3398742675781,277.3598327636719,188.38143920898438,359.36749267578125
2020-09-03,1982.15625,814.830322265625,130.36936950683594,560.5061645507812,535.5803833007812,370.1910400390625,193.19467163085938,472.97515869140625,278.1778259277344,957.6921997070312,143.0989227294922,6778.64599609375,493.9023132324219,886.0988159179688,516.1292724609375,290.54425048828125,277.7384948730469,185.29322814941406,354.5725402832031
2020-09-04,1972.9334716796875,800.5465087890625,127.21208953857422,555.7872924804688,530.0868530273438,360.3257141113281,187.25791931152344,453.3072814941406,274.8616943359375,941.8900756835938,139.43930053710938,6891.26318359375,483.5232849121094,868.9049682617188,501.8829650878906,284.4590148925781,267.2783203125,181.7224578857422,352.329345703125
2020-09-07,2005.9039306640625,805.6851196289062,128.4796142578125,562.1318969726562,525.9193115234375,361.1478271484375,188.43621826171875,456.792724609375,272.6110534667969,944.338623046875,141.23178100585938,6909.52099609375,484.2780456542969,859.36328125,494.4959716796875,284.55877685546875,271.206787109375,180.95042419433594,343.3516540527344
2020-09-08,2024.1351318359375,818.0963745117188,130.2310791015625,575.6934814453125,526.8427734375,363.3724060058594,184.94664001464844,442.50238037109375,269.01611328125,955.4249877929688,140.52224731445312,6923.75390625,473.5687255859375,845.11962890625,477.851318359375,277.0270690917969,266.14239501953125,173.9536590576172,342.84716796875
2020-09-09,2006.421142578125,808.0368041992188,130.36936950683594,572.5608520507812,519.2890014648438,355.5381164550781,176.6079559326172,429.4568786621094,264.1265869140625,980.0237426757812,137.2733612060547,6915.36767578125,480.551025390625,838.4817504882812,483.7513122558594,282.3641052246094,271.5381164550781,176.41458129882812,335.28985595703125
2020-09-10,2009.4384765625,818.7496948242188,131.1529083251953,572.9178466796875,516.4712524414062,358.53643798828125,179.5989990234375,444.99200439453125,262.80206298828125,1049.2398681640625,138.09494018554688,6931.0859375,479.2772521972656,849.0377807617188,477.13177490234375,297.5771789550781,270.1181945800781,170.4794158935547,342.7198181152344
2020-09-11,2046.46142578125,823.6705322265625,135.18589782714844,572.3229370117188,510.8355407714844,358.34295654296875,183.72303771972656,445.3405456542969,264.96307373046875,1051.8470458984375,137.3854217529297,6894.61767578125,477.01275634765625,845.7649536132812,471.6635437011719,295.2827453613281,272.4374084472656,172.4095458984375,347.1964416503906
2020-09-14,2147.5732421875,852.151123046875,141.59262084960938,632.2075805664062,501.0322265625,351.76611328125,179.91624450683594,438.71820068359375,259.8543701171875,1044.0482177734375,136.9373016357422,6832.55810546875,467.81304931640625,831.6596069335938,454.82696533203125,292.43963623046875,274.37799072265625,169.65911865234375,337.03839111328125
